secteur;num;nom_mesr;acronyme;ville
prive;76;Knowbridge University Institute (Sokodé);Sokodé;Sokodé
prive;77;Institut Consortium Saint John Révélation;;Lomé
prive;78;Institute of Strategy and Leadership (ISL);ISL;Lomé
prive;79;Ecole supérieure d'ingénieurs d'Aneho (ESIA);ESIA;Lomé
prive;80;Hôtel Ecole Concordia;;Lomé
prive;81;Ecole Supérieure le Miel de Kpové-Zion;;Kpové
prive;82;Univers du Leadership International de XOESE (Univers XOESE);Univers XOESE;Lomé
prive;83;International School of Technology and Business (ISTB);ISTB;Lomé
prive;84;Centre de Formation Supérieure SartenMode (CFS-SartenMode);CFS-SartenMode;Lomé
prive;85;Ecole Supérieure de Relations Internationales et de Diplomatie (ESRID);ESRID;Lomé
prive;86;Global University School of Science and Technology (GUST);GUST;Lomé
prive;87;Institut Supérieur Bilingue d'Informatique et de Calcul Auguste Le Grand (ISBIC-ALG);ISBIC-ALG;Lomé
prive;88;Ecole Supérieure des Sciences de l'Ingénieur et de Gestion (ESSIG);ESSIG;Lomé
prive;89;Adaptation Finance Academy (AFA);AFA;Lomé
prive;90;Ecole de Droit de Lomé;;Lomé
prive;91;Ecole Supérieure d'Ingénierie Sainte Marie-Stella-Togo (ESIMS-TOGO);ESIMS-TOGO;Lomé
prive;92;Institut de Formation et de Recherche Interdisciplinaires en Sciences de Santé et d'Education (IFRISSE);IFRISSE;Lomé
prive;93;Institut Polytechnique Jameson (IPJ);IPJ;Lomé
prive;94;Institut Supérieur Agro-pastoral de Biotechnologie et de l'Environnement (ISAPAB-Togo);ISAPAB-Togo;Lomé
prive;95;Institut Supérieur de Management industriel et Environnemental (ISMIE);ISMIE;Lomé
prive;96;Ecole d'Ingénieurs en Topographie et en Equipement SUP-TOPO;;Lomé
prive;97;SIGMA (école préparatoire);école préparatoire;Lomé
prive;98;Ecole supérieure des techniques appliquées aux bâtiments (ESTABAT);ESTABAT;Lomé
